model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
Baseline (Dummy),0.7736707736707737,0.07034303952688901,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.22632922632922634,0.07034303952688901
Logistic Regression,0.4846486846486847,0.22569511915210458,0.24844660873767985,0.05964981715426402,0.6591950650718051,0.381551090422245,0.33477922778949804,0.1302769831482857,0.5646019273665362,0.013122110723809005,0.2756935686529053,0.0914043868606734
Decision Tree,0.5381729381729381,0.15025275483264222,0.24101606711974738,0.0641940980524278,0.5240843655691239,0.24518443974619364,0.3196614796328152,0.11091205859970055,0.5273323515460904,0.014958712840336888,0.24282850414963422,0.07285533998242218
Random Forest (default),0.7487179487179487,0.09664782660647593,0.2938678760805085,0.0573140277211444,0.07895448741967236,0.08996901973045099,0.10383223875087025,0.10728177957994225,0.5417224143610964,0.02703024985352968,0.24989810801969298,0.07031276239676526
