model,split,accuracy,precision,recall,f1,roc_auc,pr_auc
Logistic Regression,test,0.280722013964148,0.278748128609111,0.9988504278962832,0.4358609926706239,0.5480979168673012,0.3148089007982816
Random Forest (tuned),test,0.4828468385239931,0.3077274936390405,0.687444118022736,0.4251436696486759,0.5885594141651209,0.3678649930557552
Baseline (Dummy),validation,0.6755381604696673,0.0,0.0,0.0,0.5,0.3244618395303327
Decision Tree,validation,0.4978117772638321,0.3563912368466448,0.6796797894505977,0.4675971331572991,0.5640051008317093,0.3763558405210737
Logistic Regression,validation,0.3471980074719801,0.3288956463695023,0.9725847132361004,0.4915615906886518,0.5824855772719078,0.3967721828630826
Random Forest (default),validation,0.5731008717310088,0.3751192851565889,0.4741747998684066,0.4188704833866124,0.5708153924881965,0.3907568614848756
Random Forest (tuned),validation,0.4911225760540829,0.3563549692367385,0.7050115144204409,0.4734167893961708,0.5866964792580036,0.4023471821334694
